Node,Commodity,Day,Month,Year,Timestep,Value
London Storages,water,198.0,7,2020.0,198,197722.40668000001
Farmoor,water,199.0,7,2020.0,199,10760.04577999999
London Storages,water,199.0,7,2020.0,199,198224.65528
Farmoor,water,200.0,7,2020.0,200,10477.049049999989
London Storages,water,200.0,7,2020.0,200,198713.85718
Farmoor,water,201.0,7,2020.0,201,10194.052319999988
London Storages,water,201.0,7,2020.0,201,199178.86718
Farmoor,water,202.0,7,2020.0,202,9911.055589999987
London Storages,water,202.0,7,2020.0,202,199557.13158
Farmoor,water,203.0,7,2020.0,203,9628.058859999986
London Storages,water,203.0,7,2020.0,203,199808.21527999997
Farmoor,water,204.0,7,2020.0,204,9645.062129999986
London Storages,water,204.0,7,2020.0,204,199613.80127999999
Farmoor,water,205.0,7,2020.0,205,9662.065399999985
London Storages,water,205.0,7,2020.0,205,199268.87847999998
Farmoor,water,206.0,7,2020.0,206,9679.068669999984
London Storages,water,206.0,7,2020.0,206,198774.82927999998
Farmoor,water,207.0,7,2020.0,207,9696.071939999983
London Storages,water,207.0,7,2020.0,207,198139.94807999997
Farmoor,water,208.0,7,2020.0,208,9713.075209999983
London Storages,water,208.0,7,2020.0,208,197372.61567999996
Farmoor,water,209.0,7,2020.0,209,9730.078479999982
London Storages,water,209.0,7,2020.0,209,196482.59537999996
Farmoor,water,210.0,7,2020.0,210,9447.081749999981
London Storages,water,210.0,7,2020.0,210,195779.90937999997
Farmoor,water,211.0,7,2020.0,211,9164.08501999998
London Storages,water,211.0,7,2020.0,211,194972.85217999996
Farmoor,water,212.0,7,2020.0,212,9181.08828999998
London Storages,water,212.0,7,2020.0,212,193770.05513999995
Farmoor,water,213.0,7,2020.0,213,8982.39252000004
London Storages,water,213.0,7,2020.0,213,192694.9760199999
Farmoor,water,214.0,8,2020.0,214,9015.41446000004
London Storages,water,214.0,8,2020.0,214,191330.24723999988
Farmoor,water,215.0,8,2020.0,215,9048.43640000004
London Storages,water,215.0,8,2020.0,215,189889.20133999988
Farmoor,water,216.0,8,2020.0,216,8781.458340000041
London Storages,water,216.0,8,2020.0,216,188677.54071999987
Farmoor,water,217.0,8,2020.0,217,8814.480280000042
London Storages,water,217.0,8,2020.0,217,187100.21609999987
Farmoor,water,218.0,8,2020.0,218,8847.502220000042
London Storages,water,218.0,8,2020.0,218,185483.75227999987
Farmoor,water,219.0,8,2020.0,219,8880.524160000043
London Storages,water,219.0,8,2020.0,219,183826.63725999987
Farmoor,water,220.0,8,2020.0,220,8913.546100000043
London Storages,water,220.0,8,2020.0,220,182130.12383999987
Farmoor,water,221.0,8,2020.0,221,8946.568040000044
London Storages,water,221.0,8,2020.0,221,180506.68743999986
Farmoor,water,222.0,8,2020.0,222,8979.589980000044
London Storages,water,222.0,8,2020.0,222,178930.77113999985
Farmoor,water,223.0,8,2020.0,223,9012.611920000045
London Storages,water,223.0,8,2020.0,223,177378.70123999985
Farmoor,water,224.0,8,2020.0,224,9045.633860000045
London Storages,water,224.0,8,2020.0,224,175839.41853999984
Farmoor,water,225.0,8,2020.0,225,9078.655800000046
London Storages,water,225.0,8,2020.0,225,174305.23343999984
Farmoor,water,226.0,8,2020.0,226,9111.677740000046
London Storages,water,226.0,8,2020.0,226,172767.24673999983
Farmoor,water,227.0,8,2020.0,227,9144.699680000047
London Storages,water,227.0,8,2020.0,227,171216.55923999983
Farmoor,water,228.0,8,2020.0,228,9177.721620000048
London Storages,water,228.0,8,2020.0,228,169643.58053999982
Farmoor,water,229.0,8,2020.0,229,9210.743560000048
London Storages,water,229.0,8,2020.0,229,168071.98423999982
Farmoor,water,230.0,8,2020.0,230,9243.765500000049
London Storages,water,230.0,8,2020.0,230,166482.5031399998
Farmoor,water,231.0,8,2020.0,231,9276.78744000005
London Storages,water,231.0,8,2020.0,231,164860.8812399998
Farmoor,water,232.0,8,2020.0,232,9309.80938000005
London Storages,water,232.0,8,2020.0,232,163200.2065399998
Farmoor,water,233.0,8,2020.0,233,9342.83132000005
London Storages,water,233.0,8,2020.0,233,161530.37343999982
Farmoor,water,234.0,8,2020.0,234,9375.85326000005
London Storages,water,234.0,8,2020.0,234,159837.64433999982
Farmoor,water,235.0,8,2020.0,235,9408.875200000051
London Storages,water,235.0,8,2020.0,235,158131.86883999984
Farmoor,water,236.0,8,2020.0,236,9441.897140000052
London Storages,water,236.0,8,2020.0,236,156495.38613999984
Farmoor,water,237.0,8,2020.0,237,9174.919080000052
London Storages,water,237.0,8,2020.0,237,155321.76743999985
Farmoor,water,238.0,8,2020.0,238,9207.941020000053
London Storages,water,238.0,8,2020.0,238,154002.28633999985
Farmoor,water,239.0,8,2020.0,239,9240.962960000053
London Storages,water,239.0,8,2020.0,239,153109.18923999983
Farmoor,water,240.0,8,2020.0,240,9273.984900000054
London Storages,water,240.0,8,2020.0,240,152936.49533999982
Farmoor,water,241.0,8,2020.0,241,9307.006840000055
London Storages,water,241.0,8,2020.0,241,153074.2365399998
Farmoor,water,242.0,8,2020.0,242,9340.028780000055
London Storages,water,242.0,8,2020.0,242,153137.2418399998
Farmoor,water,243.0,8,2020.0,243,9373.050720000056
London Storages,water,243.0,8,2020.0,243,152955.9081399998
Farmoor,water,244.0,9,2020.0,244,9406.072660000056
London Storages,water,244.0,9,2020.0,244,152678.7696399998
Farmoor,water,245.0,9,2020.0,245,9441.764360000056
London Storages,water,245.0,9,2020.0,245,152437.3811399998
Farmoor,water,246.0,9,2020.0,246,9477.456060000055
London Storages,water,246.0,9,2020.0,246,152273.14793999982
Farmoor,water,247.0,9,2020.0,247,9513.147760000054
London Storages,water,247.0,9,2020.0,247,152071.33063999983
Farmoor,water,248.0,9,2020.0,248,9548.839460000054
London Storages,water,248.0,9,2020.0,248,151776.20133999982
Farmoor,water,249.0,9,2020.0,249,9584.531160000053
London Storages,water,249.0,9,2020.0,249,151364.60493999982
Farmoor,water,250.0,9,2020.0,250,9620.222860000053
London Storages,water,250.0,9,2020.0,250,150826.17323999983
Farmoor,water,251.0,9,2020.0,251,9655.914560000052
London Storages,water,251.0,9,2020.0,251,150156.06773999982
Farmoor,water,252.0,9,2020.0,252,9691.606260000051
London Storages,water,252.0,9,2020.0,252,149353.3383399998
Farmoor,water,253.0,9,2020.0,253,9727.29796000005
London Storages,water,253.0,9,2020.0,253,148421.2682399998
Farmoor,water,254.0,9,2020.0,254,9762.98966000005
London Storages,water,254.0,9,2020.0,254,147364.0045399998
Farmoor,water,255.0,9,2020.0,255,9798.68136000005
London Storages,water,255.0,9,2020.0,255,146189.3232399998
Farmoor,water,256.0,9,2020.0,256,9834.373060000049
London Storages,water,256.0,9,2020.0,256,144903.7043399998
Farmoor,water,257.0,9,2020.0,257,9870.064760000048
London Storages,water,257.0,9,2020.0,257,143542.7447399998
Farmoor,water,258.0,9,2020.0,258,9905.756460000048
London Storages,water,258.0,9,2020.0,258,142103.8522399998
Farmoor,water,259.0,9,2020.0,259,9941.448160000047
London Storages,water,259.0,9,2020.0,259,140589.2733399998
Farmoor,water,260.0,9,2020.0,260,9977.139860000047
London Storages,water,260.0,9,2020.0,260,139002.20483999982
Farmoor,water,261.0,9,2020.0,261,10012.831560000046
London Storages,water,261.0,9,2020.0,261,137388.0067399998
Farmoor,water,262.0,9,2020.0,262,10048.523260000045
London Storages,water,262.0,9,2020.0,262,136558.40703999982
Farmoor,water,263.0,9,2020.0,263,10084.214960000045
London Storages,water,263.0,9,2020.0,263,137040.96403999982
